NCT00033995,National Institute of Neurological Disorders and Stroke (NINDS),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,Bethesda,Maryland,20892,United States,,,
NCT00036595,National Institute of Neurological Disorders and Stroke (NINDS),National Institute of Neurological Disorders and Stroke (NINDS),,Bethesda,Maryland,20892,United States,,,
NCT00044252,National Institute of Neurological Disorders and Stroke (NINDS),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,Bethesda,Maryland,20892,United States,,,
NCT00046189,National Cancer Institute (NCI),"National Institutes of Health Clinical Center, 9000 Rockville Pike",Recruiting,Bethesda,Maryland,20892,United States,For more information at the NIH Clinical Center contact National Cancer Institute Referral Office,(888) NCI-1937,
NCT00048490,National Institute of Neurological Disorders and Stroke (NINDS),National Institute of Neurological Disorders and Stroke (NINDS),,Bethesda,Maryland,20892,United States,,,
NCT00048698,National Institute of Neurological Disorders and Stroke (NINDS),National Institute of Neurological Disorders and Stroke (NINDS),,Bethesda,Maryland,20892,United States,,,
NCT00049738,National Institute of Mental Health (NIMH),"National Institutes of Health Clinical Center, 9000 Rockville Pike",Recruiting,Bethesda,Maryland,20892,United States,For more information at the NIH Clinical Center contact Patient Recruitment and Public Liaison Office (PRPL),800-411-1222,prpl@mail.cc.nih.gov
NCT00051961,National Institute of Neurological Disorders and Stroke (NINDS),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,Bethesda,Maryland,20892,United States,,,
NCT00054990,National Institute of Neurological Disorders and Stroke (NINDS),National Institute of Neurological Disorders and Stroke (NINDS),,Bethesda,Maryland,20892,United States,,,
NCT00056420,National Institute of Neurological Disorders and Stroke (NINDS),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,Bethesda,Maryland,20892,United States,,,
NCT00056888,National Institute of Neurological Disorders and Stroke (NINDS),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,Bethesda,Maryland,20892,United States,,,
NCT00057460,National Institute of Neurological Disorders and Stroke (NINDS),National Institute of Neurological Disorders and Stroke (NINDS),,Bethesda,Maryland,20892,United States,,,
NCT00059501,National Institute of Neurological Disorders and Stroke (NINDS),National Institute of Neurological Disorders and Stroke (NINDS),,Bethesda,Maryland,20892,United States,,,
NCT00063284,National Institute of Neurological Disorders and Stroke (NINDS),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,Bethesda,Maryland,20892,United States,,,
NCT00064792,"Forbes Porter, M.D.","National Institutes of Health Clinical Center, 9000 Rockville Pike",,Bethesda,Maryland,20892,United States,,,
NCT00065364,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),Children's Hospital Boston,,Boston,Massachusetts,2115,United States,,,
NCT00065702,National Center for Complementary and Integrative Health (NCCIH),"U of Arizona College of Medicine, Program in Integrative Medicine",,Tucson,Arizona,85724,United States,,,
NCT00067210,National Institute of Neurological Disorders and Stroke (NINDS),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,Bethesda,Maryland,20892,United States,,,
NCT00069303,National Institutes of Health Clinical Center (CC),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,Bethesda,Maryland,20892,United States,,,
NCT00070694,National Institute of Mental Health (NIMH),National Institute of Mental Health (NIMH),,Bethesda,Maryland,20892,United States,,,
NCT00071305,National Institute of Neurological Disorders and Stroke (NINDS),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,Bethesda,Maryland,20892,United States,,,
NCT00071370,National Institute of Neurological Disorders and Stroke (NINDS),National Institute of Neurological Disorders and Stroke (NINDS),,Bethesda,Maryland,20892,United States,,,
NCT00071435,National Institute of Neurological Disorders and Stroke (NINDS),National Institute of Neurological Disorders and Stroke (NINDS),,Bethesda,Maryland,20892,United States,,,
NCT00080184,National Center for Complementary and Integrative Health (NCCIH),Oregon Health &amp; Science University,,Portland,Oregon,97239-3098,United States,,,
NCT00080548,National Institute of Neurological Disorders and Stroke (NINDS),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,Bethesda,Maryland,20892,United States,,,
NCT00081419,National Institute of Neurological Disorders and Stroke (NINDS),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,Bethesda,Maryland,20892,United States,,,
NCT00088426,National Human Genome Research Institute (NHGRI),"National Institutes of Health Clinical Center, 9000 Rockville Pike",Recruiting,Bethesda,Maryland,20892,United States,For more information at the NIH Clinical Center contact Patient Recruitment and Public Liaison Office (PRPL),800-411-1222,prpl@mail.cc.nih.gov
NCT00088712,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),"National Institutes of Health Clinical Center, 9000 Rockville Pike",Recruiting,Bethesda,Maryland,20892,United States,For more information at the NIH Clinical Center contact Patient Recruitment and Public Liaison Office (PRPL),800-411-1222,prpl@mail.cc.nih.gov
NCT00089622,National Institute of Neurological Disorders and Stroke (NINDS),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,Bethesda,Maryland,20892,United States,,,
NCT00104663,Medical Research Council,National Prion Clinic,,London,,WC1N 3BG,United Kingdom,,,
NCT00113022,National Institute of Mental Health (NIMH),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,Bethesda,Maryland,20892,United States,,,
NCT00113022,National Institute of Mental Health (NIMH),Mt. Sinai Medical Center,,New York,New York,10029-0574,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Birmingham,Alabama,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Mobile,Alabama,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Los Angeles,California,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Denver,Colorado,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,New Haven,Connecticut,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Wilmington,Delaware,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Washington,District of Columbia,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Loxahatchee,Florida,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Miami,Florida,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Orlando,Florida,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Pensacola,Florida,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Tampa,Florida,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Augusta,Georgia,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Chicago,Illinois,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Park Ridge,Illinois,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Louisville,Kentucky,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Shreveport,Louisiana,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Boston,Massachusetts,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Ann Arbor,Michigan,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Dearborn,Michigan,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Saint Paul,Minnesota,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Columbia,Missouri,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Kansas City,Missouri,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Saint Louis,Missouri,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Springfield,Missouri,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Cherry Hill,New Jersey,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Newark,New Jersey,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Buffalo,New York,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Mineola,New York,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Rochester,New York,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Stony Brook,New York,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Syracuse,New York,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Chapel Hill,North Carolina,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Durham,North Carolina,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Cincinnati,Ohio,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Cleveland,Ohio,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Danville,Pennsylvania,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Hershey,Pennsylvania,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Philadelphia,Pennsylvania,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Pittsburgh,Pennsylvania,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Providence,Rhode Island,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Charleston,South Carolina,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Germantown,Tennessee,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Fort Worth,Texas,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Plano,Texas,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Norfolk,Virginia,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Madison,Wisconsin,,United States
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Buenos Aires,,,Argentina
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Cordoba,,,Argentina
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Rio Negro,,,Argentina
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Santa Fe,,,Argentina
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Heidelberg West,,,Australia
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Melbourne,,,Australia
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Subiaco,,,Australia
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Antwerpen,,,Belgium
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Gent,,,Belgium
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Leuven,,,Belgium
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Pulderbos,,,Belgium
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,St. John'S,Newfoundland and Labrador,,Canada
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Saskatoon,Saskatchewan,,Canada
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Chile,,,Chile
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Santiago,,,Chile
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Helsinki,,,Finland
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Tampere,,,Finland
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Bordeaux Cedex,,,France
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Lille,,,France
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Tours Cedex 9,,,France
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Budapest,,,Hungary
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Chennai,,,India
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Hyderabad Gpo,,,India
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Kochi Ho,,,India
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Mumbai,,,India
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,New Delhi,,,India
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Pune,,,India
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Petah Tikva,,,Israel
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Seoul,,,"Korea, Republic of"
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Monterrey,,,Mexico
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,San Luis Potosi,,,Mexico
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Heeze,,,Netherlands
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Wellington,,,New Zealand
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Bergen,,,Norway
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Gdansk,,,Poland
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Warszawa N/A,,,Poland
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Ekaterinburg Siberia,,,Russian Federation
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Moscow,,,Russian Federation
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Omsk Siberia,,,Russian Federation
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Samara,,,Russian Federation
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Cape Town Wc,,,South Africa
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Madrid,,,Spain
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Taipei,,,Taiwan
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Bangkok,,,Thailand
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Chiangmai,,,Thailand
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Donetsk,,,Ukraine
NCT00113815,"Johnson &amp; Johnson Pharmaceutical Research &amp; Development, L.L.C.",,,Kiev,,,Ukraine
NCT00117221,National Institute of Neurological Disorders and Stroke (NINDS),"National Institutes of Health Clinical Center, 9000 Rockville Pike",,Bethesda,Maryland,20892,United States
NCT00132366,National Institute of Neurological Disorders and Stroke (NINDS),Childrens National Medical Center,,Washington,District of Columbia,,United States
NCT00134966,Novartis,Barrow Neurology Clinics at St. Joseph's Hosptial &amp; Medical Center,,"500 West Thomas Road, Suite 720, Phoenix",Arizona,85013,United States
NCT00134966,Novartis,"Neurosearch, Inc.",,"19231 Victory Blvd., Suite 355 North Wing, Reseda",California,91335,United States
NCT00134966,Novartis,"Coastal Neurological Medical Group, Inc",,"9850 Genesee Avenue, Suite 740, La Jolla",California,92037,United States
NCT00134966,Novartis,USF Medical Clinic,,"12901 Bruce B. Downs Blvd., MDC 55, Tampa",Florida,33612,United States
NCT00134966,Novartis,Mayo Clinic,,"4500 San Pablo Road, Jacksonville",Florida,32224,United States
NCT00134966,Novartis,University of Florida Health Science Center,,"580 West 8th Street, Tower 1, 9th Floor, Jacksonville",Florida,32209,United States
NCT00134966,Novartis,"Springfield Neurology Associates, LLC",,"300 Carew Street, Suite 2, Springfield",Massachusetts,1104,United States
NCT00134966,Novartis,Clinical Neuroscience Center,,"26400 W. Twelve Mile, Suite 180, Southfield",Michigan,48034,United States
NCT00134966,Novartis,Melbourne Internal Medicine Associates,,"2645 Wakefield Lane, Westlake",Ohio,44145,United States
NCT00134966,Novartis,Lankenau Hospital,,"100 Lancaster Avenue, Suite 161 E, Wynnewood",Pennsylvania,19096-3425,United States
NCT00134966,Novartis,"Westmoreland Neurology Associates, Inc.",,"327 West Pittsburgh Street, Greensburg",Pennsylvania,15601,United States
NCT00134966,Novartis,NeuroHealth,,"227 Centerville Rd., Warwick",Rhode Island,2886,United States
NCT00134966,Novartis,"Coastal Neurology, PA",,"989 Ribant Road, Suite 310 Beufort",South Carolina,29902,United States
NCT00134966,Novartis,Neurology Associates,,"1341 Thorpe Lane, San Marcos",Texas,78666,United States
NCT00134966,Novartis,Senior Adults Specialty Research,,"3215 Steck Avenue, Suite 202, Austin",Texas,78757,United States
NCT00134966,Novartis,"Baylor College of Medicine, Parkinson's Disease Center",,"6550 Fannin, Smith Tower, 18th Floor, Suite 1801",Texas,77030,United States
NCT00134966,Novartis,Blue Ridge Research Center at Roanoke Neurological Center,,"2601 Franklin Road, Suite B, Roanoke",Virginia,24014,United States
NCT00134966,Novartis,Heritage Medical Research Clinic,,"3350 Hospital Drive NW, Suite 1140, Calgary",Alberta,T2N 4N1,Canada
NCT00134966,Novartis,,,"331 Mountain Road, Moncton",New Brunswick,E1C 2M4,Canada
NCT00134966,Novartis,"Eastern Health Care - Health Sciences Centre, Neurology Department",,"HSC Room 5317, 300 Prince Philip Drive, St. John's",Newfoundland and Labrador,A1B 3V6,Canada
NCT00134966,Novartis,"Cape Breton Regional Hospital, Neurology Department",,"1482 George Street, Sydney",Nova Scotia,B1P 1P3,Canada
NCT00134966,Novartis,"Neurology Division, Health Science Center",,"1535 Dresden Row, Suite 208, Halifax",Nova Scotia,B3J 3T1,Canada
NCT00134966,Novartis,"Ottawa Hospital, Civic Campus",,"1053 Carling Avenue, Room D715, 7th Floor, Ottawa",Ontario,K1Y 4E9,Canada
NCT00134966,Novartis,Parkinson's &amp; Neurodegenerative Disorders Clinic,,"1929 Russell Road, Suite 226, Ottawa",Ontario,K1G 4G3,Canada
NCT00134966,Novartis,Grand River Hospital,,"204-18 Pine St., Kitchener",Ontario,N2H 5Z8,Canada
NCT00134966,Novartis,Hiren Desai Medicine Professional Corporation,,"259-1720 Howard Ave., Windsor",Ontario,N8X 5A6,Canada
NCT00134966,Novartis,Centre for Movement Disorders,,"2780 Bur Oak Avenue, Markham",Ontario,L6B 1C9,Canada
NCT00134966,Novartis,"London Health Sciences Center, University Hospital, Rm. A10-026",,"339 Windermere Road, London",Ontario,N6A 5A5,Canada
NCT00134966,Novartis,Montreal General Hospital,,"1650 Cedar Avenue, Room L 7 107, Montreal",Quebec,H3G 1A4,Canada
NCT00134966,Novartis,Centre de Recjerche Clinique du CHUS,,"3001 12th Avenue Nord, Sherbrooke",Quebec,J1H 5N4,Canada
NCT00134966,Novartis,"Unite des Troubles du Mouvement Andre-Barbeau, CHUM-Hotel-Dieu",,"3840 St-Urbain, Bur. 7-561, Montreal",Quebec,,Canada
