nct_id,sponsor_type,overall_status,study_type,start_date,completion_date,phase,brief_title,conditions,interventions,primary_completion_date,,completion_date_type,org_study_id,secondary_id,actual_duration,reported_enrollment,derived_enrollment,enrollment_type,number_of_arms,number_of_facilities,number_of_nsae_subjects,number_of_sae_subjects,registered_in_fiscal_year,results_reported,months_to_report_results,why_stopped,is_section_801,is_fda_regulated,has_expanded_access,has_dmc
NCT00064792,NIH,Completed,Interventional,7/1/03,12/1/10,Phase 2,Simvastatin Therapy in Smith-Lemli-Opitz Syndrome,"Cleft Palate, Genetic Diseases, X-Linked, Hypertelorism, Hypospadias, Smith-Lemli-Opitz Syndrome, Syndrome",Simvastatin,12/1/10,,Actual,30225,,7.42,23,,Actual,2,1,0,2,2003,1,20,,1,1,0,1
NCT00065364,NIH,Completed,Interventional,5/1/00,,N/A,Improving Brain Development in Medically Healthy Premature Infants,Premature Birth,,,,,R01HD038261,,,90,,,,1,0,0,2003,,,,,,0,
NCT00065702,NIH,Completed,Interventional,10/1/00,9/1/02,Phase 1/Phase 2,Biomarkers of Homeopathy in Fibromyalgia,"Fibromyalgia, Myofascial Pain Syndromes",,,,,R21AT000315-01,,,60,,,,1,0,0,2003,,,,,,0,
NCT00067210,NIH,Completed,Interventional,8/1/03,5/1/07,Phase 2,Reducing Seizure Frequency Using Cooling of the Head and Neck,Seizures,,,,,30272,,,5,,,,1,0,0,2003,,,,0,1,0,
NCT00069303,NIH,Completed,Observational,9/1/03,2/1/11,N/A,Natural History of West Nile Virus Infection,"Encephalitis, Myelitis, Virus Diseases, West Nile Fever",,,,,30305,,,110,,Anticipated,,1,0,0,2003,,,,,0,0,
NCT00070694,NIH,Completed,Interventional,9/1/03,10/1/04,Phase 2,"An Investigation of the Antidepressant Efficacy of the 5-HT2A Antagonist, M100907, in Combination With Citalopram in Treatment Resistant Depression","Depression, Depressive Disorder, Depressive Disorder, Treatment-Resistant","Antidepressive Agents, Serotonin 5-HT2 Receptor Antagonists",,,,30315,,,96,,,,1,0,0,2004,,,,,,0,
NCT00071305,NIH,Completed,Observational,10/1/03,,N/A,Non-Invasive Seizure Localization in Patients With Medically Refractory Localization Related Epilepsy: Synchronized MEG-EEG Recordings,"Epilepsies, Partial, Epilepsy",,10/1/09,,,40016,,6.01,35,,,,1,0,0,2004,,,,,0,0,
NCT00071370,NIH,Completed,Observational,10/1/03,11/1/05,N/A,Activating Effects of Sleep Deprivation on Synchronized MEG-EEG Recordings of Epilepsy Patients With Non-Diagnostic EEG,"Epilepsy, Sleep Deprivation",,,,,40015,,,25,,,,1,0,0,2004,,,,,,0,
NCT00071435,NIH,Completed,Observational,10/1/03,2/1/06,N/A,Brain Function in Primary Lateral Sclerosis,Motor Neuron Disease,,,,,40017,,,36,,,,1,0,0,2004,,,,,,0,
NCT00080184,NIH,Completed,Interventional,12/1/03,5/1/06,Phase 1/Phase 2,Effectiveness of Brainwave Biofeedback in the Treatment of Fibromyalgia,"Fibromyalgia, Myofascial Pain Syndromes",,,,,R21AT000930-01A2,,,40,,,,1,0,0,2004,,,,,,0,
NCT00080548,NIH,Completed,Observational,4/1/04,1/1/09,N/A,Timing of Voluntary Movement in Patients With Schizophrenia,Schizophrenia,,,,,40151,,,42,,,,1,0,0,2004,,,,,0,0,
NCT00081419,NIH,Completed,Observational,4/1/04,1/1/09,N/A,Timing of Voluntary Movement in Patients With Tourette Syndrome and Chronic Tic Disorder,"Syndrome, Tic Disorders, Tics, Tourette Syndrome",,,,,40153,,,42,,,,1,0,0,2004,,,,,0,0,
NCT00088426,NIH,Recruiting,Observational,1/1/04,,N/A,Clinical and Genetic Studies on Holoprosencephaly,Holoprosencephaly,,,,,40093,,,250,,Anticipated,,1,0,0,2004,,,,,0,0,
NCT00088712,NIH,Recruiting,Observational,7/1/04,,N/A,Event Related Potentials in Infants and Adults,,,,,,40250,,,500,,Anticipated,,1,0,0,2004,,,,,0,0,
NCT00089622,NIH,Completed,Interventional,8/1/04,3/1/07,Phase 2,Lisuride Patch to Treat Parkinson's Disease,Parkinson Disease,"Levodopa, Lisuride",,,,40258,,,40,,,,1,0,0,2004,,,,,,0,
NCT00104663,Other,Completed,Interventional,6/1/04,3/1/07,N/A,PRION-1: Quinacrine for Human Prion Disease,Prion Diseases,Quinacrine,,,,Version 1.1,,,160,,,,1,0,0,2005,,,,,,0,
NCT00113022,NIH,Terminated,Interventional,5/1/05,2/1/07,Phase 2,Org 24448 to Treat Major Depression,"Depression, Depressive Disorder, Depressive Disorder, Major",,2/1/07,,Actual,50161,,1.76,9,,Actual,2,2,19,2,2005,1,51,Terminated due to concerns about adverse events in separate study.,1,1,0,1
NCT00113815,Industry,Completed,Interventional,5/1/05,11/1/07,Phase 3,Topiramate as Adjunctive Therapy in Infants 1-24 Months for the Control of Partial Onset Seizures,"Epilepsies, Partial, Epilepsy, Seizures",Topiramate,6/1/07,,Actual,CR002233,,2.08,118,,Actual,4,94,0,0,2005,,,,1,1,0,
NCT00117221,NIH,Completed,Observational,6/1/05,2/1/14,N/A,MRI Measurement of Brain Metabolism Across the Sleep-Wake Cycle,,,,,,50179,,,56,,Actual,,1,0,0,2005,,,,,0,0,
NCT00132366,NIH,Completed,Observational,8/1/05,6/1/08,N/A,Brain Excitability in Patients With Succinic Semialdehyde Dehydrogenase Deficiency,"Amino Acid Metabolism, Inborn Errors",,6/1/08,,Actual,50224,,2.84,60,,,,1,0,0,2005,,,,,0,0,
NCT00134966,Industry,Completed,Interventional,8/1/05,9/1/07,Phase 3,A Study to Evaluate Fixed Dose Carbidopa/Levodopa/Entacapone Versus Immediate Release Carbidopa/Levodopa,Parkinson Disease,"Carbidopa, Carbidopa, levodopa drug combination, Entacapone, Levodopa",,,Actual,CELC200A2305,,,493,,Actual,2,60,0,0,2005,,,,,,,
NCT00137384,NIH,Completed,Observational,8/1/05,,N/A,Movement-Related Brain Networks Involved in Hand Dystonia,"Dystonia, Dystonic Disorders, Movement Disorders",,,,,50228,,,60,,Actual,,1,0,0,2005,,,,,0,0,
NCT00144872,Industry,Completed,Interventional,11/1/04,,Phase 1,LAMICTAL (Lamotrigine) For The Treatment Of Absence Seizures,"Epilepsy, Absence, Seizures","Anticonvulsants, Lamotrigine",,,,LAM100118,,,50,,,,19,0,0,2005,,,,,,0,
NCT00145132,Industry,Completed,Interventional,6/1/05,12/1/09,Phase 4,Beta-CIT-SPECT and Neurophysiology in Depression,"Depression, Depressive Disorder",,12/1/09,,Actual,ESCIT-SPECT-Pogarell,,4.5,30,,Actual,1,1,0,0,2005,,,,,0,0,
NCT00150956,Other,Completed,Interventional,4/1/99,1/1/02,Phase 3,"Effects of Daily Home Hemodialysis on Circulation, Mental Functions, and Quality of Life","Kidney Failure, Chronic",,,,,C98-1750,,,12,,,,1,0,0,2005,,,,,,0,
NCT00157547,Industry,Completed,Interventional,4/1/03,8/1/06,Phase 4,Quantitative EEG (QEEG) as a Predictor of Treatment Outcome in Depression,"Depression, Depressive Disorder, Depressive Disorder, Major","Serotonin, Serotonin Uptake Inhibitors",8/1/06,,Actual,2002-P-001784,,3.34,95,,Actual,1,0,0,0,2005,,,,,0,0,1
NCT00158249,NIH,Completed,Interventional,9/1/09,10/1/14,Phase 2,Effects of Citicoline on Brain Function and Behavior in Marijuana-Dependent Individuals,Marijuana Abuse,Cytidine Diphosphate Choline,1/1/13,,Actual,NIDA-19238-1,,3.34,21,,Actual,2,1,4,0,2005,1,21,,1,1,0,0
NCT00166660,NIH,Recruiting,Interventional,7/1/04,6/1/09,Phase 2,Preterm Fetal Growth Restriction and Developmental Care,"Fetal Growth Retardation, Premature Birth",,12/1/08,,Anticipated,R01HD046855,,4.42,30,,Anticipated,1,2,0,0,2005,,,,,0,0,0
NCT00167375,Industry,Completed,Observational,1/1/05,6/1/07,Phase 1,Testing the Nocturnal Sleep Latency Profile in Primary Insomnia,Sleep Initiation and Maintenance Disorders,,,,Actual,NSLP1,,,24,,Anticipated,,1,0,0,2005,,,,,,0,
NCT00169689,Other,Completed,Interventional,6/1/03,8/1/07,N/A,Repetitive Transcranial Magnetic Stimulation,Schizophrenia,,,,Actual,TMS_S_01,,,40,,Actual,1,1,0,0,2005,,,,,0,0,0
NCT00173017,Other,Completed,Interventional,8/1/03,6/1/05,N/A,The Physiological Impact of N95 Masks on Medical Staff,Hypercapnia,,,,,9261700712,,,20,,,,1,0,0,2005,,,,,,0,
NCT00175890,Industry,Completed,Interventional,10/1/04,1/1/07,Phase 3,A Placebo-controlled Study of Levetiracetam In Children (1mo to 4yrs of Age) With Partial Onset Seizures.,"Epilepsies, Partial","Etiracetam, Piracetam",1/1/07,,Actual,N01009,,2.25,116,,Actual,2,88,0,0,2005,,,,0,1,0,0
NCT00176176,Other,Recruiting,Interventional,,,N/A,Investigation of Cognitive Function Before and After Induced Ventricular Fibrillation in Electrophysiological (EP) Study,"Tachycardia, Tachycardia, Ventricular, Ventricular Fibrillation",,,,,235/04,,,30,,,,1,0,0,2005,,,,,,0,
NCT00178035,Other,Completed,Interventional,12/1/99,8/1/03,Phase 4,Sleep Deprivation Plus Paroxetine for Treating Major Depression in Elderly Individuals,"Depression, Depressive Disorder",Paroxetine,,,,R01 MH037869-02,,,158,,,,1,0,0,2005,,,,,,0,
NCT00178321,Other,Withdrawn,Interventional,9/1/05,8/1/06,N/A,Improving Sleep in the Pediatric Intensive Care Unit,Critical Illness,,,,,10055,,,0,,Actual,,1,0,0,2005,,,,,,0,
NCT00179322,NIH,Completed,Observational,9/1/05,,N/A,Effects of Sleep Deprivation and Recovery on Cognitive Functions,Sleep Deprivation,,,,,50238,,,29,,Actual,,1,0,0,2005,,,,,0,0,
NCT00180700,Other,Completed,Interventional,6/1/03,12/1/04,N/A,The Influence of Psychological Interventions Upon Disease Progression in HIV-infected Patients Receiving no Medication,,,,,,Johrei_HIV1,,,100,,,,1,0,0,2005,,,,,,0,
NCT00194870,Other,Recruiting,Interventional,10/1/03,,N/A,Electroencephalography (EEG) and Deep Brain Stimulation (DBS) in Epilepsy,Epilepsy,,12/1/10,,,309006367,,7.17,10,,Anticipated,1,2,0,0,2005,,,,,0,0,0
NCT00200863,NIH,Completed,Interventional,4/1/05,2/1/07,N/A,Effects of Different Colors of Light on Human Physiology,,,2/1/07,,Actual,R01AT002129-01,,1.84,47,,Actual,6,1,0,0,2005,,,,,0,0,0
NCT00201474,Industry,Completed,Observational,10/1/98,6/1/10,N/A,"Acute, Affective, Organic Disorders.","Depression, Depressive Disorder",,10/1/04,,Actual,AEV-98,,6.01,32,,Actual,,1,0,0,2005,,,,,0,0,0
NCT00204711,Other,Completed,Observational,1/1/05,11/1/06,N/A,Use of the SNAP II Electroencephalography (EEG) Monitor in Outpatients Undergoing Surgery/Procedures With Sedation,,,6/1/08,,Actual,2005-0014,,3.42,50,,Anticipated,,1,0,0,2005,,,,,0,0,0
NCT00210574,Industry,Completed,Interventional,3/1/05,10/1/06,Phase 2,A Pilot Study of Topiramate in Childhood Absence Epilepsy,"Epilepsy, Epilepsy, Absence",Topiramate,,,Actual,CR002872,,,12,,Actual,,0,0,0,2005,,,,,,,
NCT00211302,Industry,Terminated,Interventional,8/1/03,2/1/06,N/A,Cognitive Improvement With Aripiprazole (Abilify) in Patients With Schizophrenia (BMS),"Psychotic Disorders, Schizophrenia",Aripiprazole,2/1/06,,Actual,LSUHSC #H04-022,,2.51,8,,Actual,1,1,0,0,2005,,,Enrollment too difficult,,0,0,0
NCT00211380,Other,Terminated,Interventional,8/1/03,2/1/06,N/A,Cognitive Improvement With Aripiprazole (Abilify) in Patients With Schizophrenia (SFBRI),"Psychotic Disorders, Schizophrenia",Aripiprazole,2/1/06,,Actual,LSUHSC #H04-021,,2.51,8,,Actual,1,1,0,0,2005,,,Recruitment was too difficult,,0,0,0
NCT00212745,Other,"Active, not recruiting",Interventional,2/1/04,3/1/10,Phase 1/Phase 2,Pilot Trial of a Behavioral Treatment for Epilepsy,"Epilepsies, Partial, Epilepsy",,3/1/09,,Anticipated,MRF #0425,,5.08,8,,Actual,2,1,0,0,2005,,,,,0,0,1
NCT00216905,Other,Completed,Observational,10/1/04,12/1/09,N/A,Simultaneous Measurement of Electroencephalography (EEG) and Functional Magnetic Resonance Imaging (fMRI) in Patients With Alcoholism,Alcoholism,,12/1/09,,Actual,Mulert_LMU_EEG/fMRI,,5.17,25,,Actual,,1,0,0,2005,,,,,0,0,
NCT00220610,Other,Recruiting,Interventional,5/1/04,12/1/06,Phase 2,REPETITIVE TRANSCRANIAL MAGNETIC STIMULATION IN the Treatment of DEPRESSION,"Depression, Depressive Disorder",,,,,CCMO03.3741/SH/P03.1231L,,,40,,,,1,0,0,2005,,,,,,0,
NCT00220883,Other,Recruiting,Observational,8/1/05,9/1/06,N/A,Electrogastrogram (EGG) Reproducibility Study: EEG Readings in Normal Subjects and Dyspeptic Patients,Dyspepsia,,,,,TU4687,,,40,,,,1,0,0,2005,,,,,,0,
NCT00222274,Other,Completed,Interventional,7/1/04,3/1/11,N/A,HRV Biofeedback in Fibromyalgia,"Fibromyalgia, Myofascial Pain Syndromes",,3/1/11,,Actual,4145,,6.67,80,,Actual,2,1,0,0,2005,,,,,0,0,0
NCT00226837,Other,Completed,Interventional,8/1/04,8/1/05,Phase 4,Quantifying Nitrous Oxide Effect on Depth of Anaesthesia Using Theoretically Based Time Series Modelling,,Nitrous Oxide,8/1/05,,Actual,2004.109,,1,60,,Actual,3,2,0,0,2005,,,,,0,0,0
NCT00226876,Other,Completed,Observational,2/1/05,3/1/06,N/A,Dreaming During Anaesthesia and Anaesthetic Depth,,Anesthetics,3/1/06,,Actual,2005/016,,1.08,300,,Actual,,3,0,0,2005,,,,,0,0,0
NCT00229476,Industry,Completed,Interventional,12/1/03,3/1/06,Phase 4,Study of Medication and Placebo Response in Major Depression,"Depression, Depressive Disorder, Depressive Disorder, Major",Sertraline,,,,03-08-033,,,60,,,,1,0,0,2005,,,,,,0,
NCT00232700,Industry,Completed,Interventional,9/1/05,12/1/08,N/A,Investigation of a Combination Treatment of Escitalopram and rTMS,"Depression, Depressive Disorder, Depressive Disorder, Major","Citalopram, Dexetimide",12/1/08,,Actual,20050041,,3.25,42,,Anticipated,,1,0,0,2006,,,,,,0,
NCT00242242,NIH,Terminated,Observational,10/1/05,7/1/13,N/A,Moving a Paralyzed Hand Through Use of a Brain-Computer Interface,,,,,,60012,,,110,,Actual,,1,0,0,2006,,,,,0,0,
NCT00247533,Other,Recruiting,Interventional,10/1/05,8/1/07,Phase 4,"Cerebral Artery Stenosis, Coronary Artery Disease and Arrhythmia","Coronary Artery Disease, Coronary Disease, Myocardial Ischemia, Stroke",,,,Anticipated,FEMH-E-940004,,,30,,Anticipated,,1,0,0,2006,,,,,,0,
NCT00265616,Other,Terminated,Interventional,5/1/06,3/1/10,Phase 3,Treatment of Refractory Status Epilepticus,Status Epilepticus,"Pentobarbital, Propofol, Thiopental",3/1/10,,Actual,"RSE study, protocol#62/06",,3.84,23,,Actual,2,5,0,4,2006,1,7,Insufficient recruitment,,0,0,1
NCT00275912,Industry,Completed,Interventional,12/1/05,9/1/07,Phase 4,"Efficacy, Safety, and Tolerability of Oxcarbazepine Monotherapy in Children With Partial Seizures","Epilepsies, Partial, Seizures","Carbamazepine, Oxcarbazepine",9/1/07,,Actual,CTRI476BRU02,,1.75,60,,Actual,,5,0,0,2006,,,,,,0,
NCT00275925,Industry,Completed,Interventional,12/1/05,3/1/07,Phase 4,Safety and Efficacy of Oxcarbazepine Monotherapy in Adults With Partial Seizures,"Epilepsies, Partial, Seizures","Carbamazepine, Oxcarbazepine",,,Actual,CTRI476BRU01,,,80,,,,7,0,0,2006,,,,,,0,
NCT00280423,Industry,Completed,Interventional,1/1/06,2/1/07,Phase 2,Effects Of GW679769 On Sleep Onset And Maintenance And Next Day Functioning In Subjects With Primary Insomnia,,Casopitant,2/1/07,,Actual,MAD103894,,1.08,342,,Actual,,71,0,0,2006,,,,,,,
NCT00280436,Industry,Completed,Interventional,1/1/06,3/1/07,Phase 2,"Effects Of GW679769 On Sleep Onset And Maintenance,And Next Day Functioning In The Elderly And Non-elderly With Primary Insomnia",,Casopitant,3/1/07,,Actual,MAD105514,,1.16,122,,Actual,,26,0,0,2006,,,,,,,
NCT00283907,NIH,Completed,Observational,1/1/06,12/1/08,N/A,Brain Networks Responsible for Sense of Agency,,,,,,60084,,,20,,,,1,0,0,2006,,,,,0,0,
